Participant, Trial, Trials/Cond, Trial Dur (0=until resp), Word/Color Relationship, Word/Color Relationship_val, Words, Words_val, Colors, Colors_val, Respond To:, Respond To:_val, Button Type, Button Type_val, Font Size, Word intensity, Background, Rel X Pos, Word Pos Random, Fix Duration, Use Makser, ISI, Gap Size (rel h), Mask Dur (ms), Word Fill, Show Fix When, Trial Delay, On Till Response, Stimulus Duration, Resp, RT (ms), Accuracy
CLR070, 1, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 5200.199999928474, 1
CLR070, 2, 20, 0, Congruent, 0, BLUE, 2, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 2256.100000023842, 1
CLR070, 3, 20, 0, Congruent, 0, RED, 0, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 880.7000000476837, 1
CLR070, 4, 20, 0, Congruent, 0, BLUE, 2, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 905.2000000476837, 1
CLR070, 5, 20, 0, Congruent, 0, RED, 0, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 1498.5, 1
CLR070, 6, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 904.7999999523163, 1
CLR070, 7, 20, 0, Congruent, 0, RED, 0, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 887.1999999284744, 1
CLR070, 8, 20, 0, Congruent, 0, BLUE, 2, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 852.3000000715256, 1
CLR070, 9, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 1036.6000000238419, 1
CLR070, 10, 20, 0, Congruent, 0, BLUE, 2, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 910.3999999761581, 1
CLR070, 11, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 953.6000000238419, 1
CLR070, 12, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 1199, 1
CLR070, 13, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 1129.1000000238419, 1
CLR070, 14, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 964.6999999284744, 1
CLR070, 15, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 2722.5, 1
CLR070, 16, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 897.6000000238419, 1
CLR070, 17, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 818.3999999761581, 1
CLR070, 18, 20, 0, Congruent, 0, BLUE, 2, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 733.1999999284744, 1
CLR070, 19, 20, 0, Congruent, 0, YELLOW, 3, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 999.6000000238419, 1
CLR070, 20, 20, 0, Congruent, 0, GREEN, 1, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 1134.8999999761581, 1
CLR070, 21, 20, 0, Incongruent, 1, BLUE, 2, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 1545.5999999046326, 1
CLR070, 22, 20, 0, Incongruent, 1, RED, 0, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 1159.2999999523163, 1
CLR070, 23, 20, 0, Incongruent, 1, BLUE, 2, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 5197.600000023842, 0
CLR070, 24, 20, 0, Incongruent, 1, YELLOW, 3, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 1505.7000000476837, 1
CLR070, 25, 20, 0, Incongruent, 1, GREEN, 1, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 5017.800000071526, 0
CLR070, 26, 20, 0, Incongruent, 1, YELLOW, 3, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 1204, 1
CLR070, 27, 20, 0, Incongruent, 1, BLUE, 2, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 5712.899999976158, 0
CLR070, 28, 20, 0, Incongruent, 1, RED, 0, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 3332.899999976158, 1
CLR070, 29, 20, 0, Incongruent, 1, BLUE, 2, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 1289.3999999761581, 1
CLR070, 30, 20, 0, Incongruent, 1, RED, 0, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 2384.9000000953674, 1
CLR070, 31, 20, 0, Incongruent, 1, YELLOW, 3, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 1333.9000000953674, 1
CLR070, 32, 20, 0, Incongruent, 1, BLUE, 2, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 981.5, 1
CLR070, 33, 20, 0, Incongruent, 1, RED, 0, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 1290.5, 1
CLR070, 34, 20, 0, Incongruent, 1, BLUE, 2, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 1110.1000000238419, 1
CLR070, 35, 20, 0, Incongruent, 1, YELLOW, 3, BLUE, 2, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 2, 1273.5999999046326, 1
CLR070, 36, 20, 0, Incongruent, 1, GREEN, 1, RED, 0, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 0, 1133, 1
CLR070, 37, 20, 0, Incongruent, 1, YELLOW, 3, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 1581.3000000715256, 1
CLR070, 38, 20, 0, Incongruent, 1, GREEN, 1, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 1465.5, 1
CLR070, 39, 20, 0, Incongruent, 1, RED, 0, GREEN, 1, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 1, 1390.6000000238419, 1
CLR070, 40, 20, 0, Incongruent, 1, GREEN, 1, YELLOW, 3, The Color, 0, Word, 0, 24, 255, 0, 0.5, false, 1000, false, 10, 0, 200, Color, First, 1000, true, 0, 3, 3960.399999976158, 1
